Código Incidencia;Fecha Apertura;Descripción problema;Impacto Remedy;Sistema;JIRA;DELIV;Descripción Proyecto;Acciones;Status;Fecha Prevista;Motivo Resolución;Peticionario;Computar;Despliegue;Segmento;Tipo solucion
INC000004002795;26-abr;[2026R4] - REGRESION MOVIL- Error al realizar cambio de MSISDN con la tarifa Mi Fijo;3-Medio;SOP_TMC_BSCS_ONLINE;#N/D;;REGRESION;;Cerrada;26-abr;Cancelado Duplicado;TyD_PRUEBAS_PROD;SI;PAP;ORANGE;Cancelado Duplicado
INC000004003029;26-abr;[2026R4] - EXCALIBUR TimeOuts EXCALIBUR;3-Medio;SOP_TMC_BOREAL;#N/D;;;Pdte instalacion;Cerrada;26-abr;RL-Error Datos Configuracion/Parametros;SOP_RESPONSABLE_SERVICIO;SI;PAP;ORANGE;RL-Error Datos Configuracion/Parametros
INC000004002775;26-abr;[2026R4] - MICROSERVICIOS - Error 500 signatureManagement;3-Medio;SOP_TURING_OSP;"MICRO-73682 [ Cancelled / Won't Do ] 
INTEPS-29807 [ Done / Done ] 
";;;;Cerrada;26-abr;Resuelto Administrativo;DES_SOE_ALTAMIRA;SI;PAP;ORANGE;Resuelto Administrativo
INC000004002883;26-abr;"[R2026R4] [Regresión Pangea] En CDT no aparece la opción ""mantén tu tarifa con modificación TV""";3-Medio;DES_SOE_PANGEA;"FRONTCO-60908 [ Cancelled / Won't Do ] 
PANOSP-2159 [ Cancelled / Won't Do ] 
";;REGRESION;;Cerrada;27-abr;Cancelado No Aplica;USU_UATS_SAC;SI;PAP;ORANGE;Cancelado No Aplica
INC000004003099;27-abr;[2026R4] - [PRJ-10523] No recibimos el SMS de bienvenida;3-Medio;Tecnologia;#N/D;;PRJ-10523 Óptima Plus Empresas SVA 5G SA Slicing;;Cerrada;27-abr;No detectada Incidencia;TyD_PRUEBAS_PROD;SI;MESA;ORANGE;No detectada Incidencia
INC000004004583;28-abr;[2026R4] - PRJ-10733 Orden de postventa contratando Google One Premium no llega a HERMES;3-Medio;SOP_SMC_TEIDE;#N/D;;PRJ-10733 SVA Gemini AI;;Cerrada;27-abr;Cancelado No Aplica;TyD_PRUEBAS_PROD;SI;MESA;ORANGE;Cancelado No Aplica
INC000004004344;27-abr;[2026R4] - NO LLEGA COMUNICACION ALTA FIBRA ORO RESI;3-Medio;Tecnologia;#N/D;;PRJ-10982 Fibra Oro en B2C_Orange;;Cerrada;26-abr;No detectada Incidencia;TyD_PRUEBAS_PROD;SI;MESA;ORANGE;No detectada Incidencia
INC000004002792;26-abr;[2026R4] - CRM4TELCO - CARGA DE DISPOSITIVO ACTIVACION EN CRM Apple Watch SE 3;3-Medio;SOP_RESPONSABLE_SERVICIO;#N/D;;PRJ-11085 CONTRATACIÓN MULTIDISPOSITIVO VAP SOBRE LINEA FIJA JAZZTEL;cerrado;Cerrada;27-abr;Resuelto sin Intervencion;PROC_CAD;SI;PAP;ORANGE;Resuelto sin Intervencion
INC000004002785;26-abr;"[2026R4] - Ordenes en error [EXT_GET_CONFIG_9030_OCCS-ACK(""ST002"",""RC1004"",""SHDES_OCC"",""OCCNK_CPC1""";3-Medio;SOP_TMC_BSCS_ONLINE;#N/D;;PRJ-11604 FASE 1 - Seguros MKP;correctivo aplicado;Cerrada;27-abr;RL-Error de Código;SOP_SMC_BOREAL;SI;PAP;ORANGE;RL-Error de Código
INC000004003247;26-abr;[2026R4] - Tienda SOL - PANGEA - No permite finalizar duplicados de SIM;3-Medio;DES_SOE_PANGEA;"PANOSP-2167 [ Cancelled / Won't Do ] 
FRONTRE-45808 [ Cancelled / Won't Do ] 
";;REGRESION;;Cerrada;26-abr;RL-Error de Código;SOP_CS_INYEC_E2E;SI;PAP;ORANGE;RL-Error de Código
